# Time indexes blocks. 
# Columns Headings: 
# x	var0 u	var0 q	var0 sigma	var1 u	var1 q	var1 sigma	var2 u	var2 q	var2 sigma
# t = 0
0.1	1	3.81461	0.763963	1.00136	3.81976	2.80501	1.00136	3.81976	1.275
0.103	1.01144	3.81246	0.786439	1.01282	3.81761	2.88753	1.01282	3.81761	1.31251
0.106	1.02287	3.80984	0.808789	1.02427	3.81499	2.96959	1.02427	3.81499	1.34981
0.109	1.0343	3.80675	0.831004	1.03571	3.8119	3.05116	1.03571	3.8119	1.38689
0.112	1.04571	3.80319	0.853076	1.04714	3.80833	3.1322	1.04714	3.80833	1.42373
0.115	1.05712	3.79916	0.874998	1.05856	3.80429	3.21269	1.05856	3.80429	1.46031
0.118	1.06851	3.79465	0.896759	1.06996	3.79978	3.29259	1.06996	3.79978	1.49663
0.121	1.07989	3.78968	0.918353	1.08135	3.7948	3.37188	1.08135	3.7948	1.53267
0.124	1.09125	3.78424	0.939772	1.09273	3.78936	3.45052	1.09273	3.78936	1.56842
0.127	1.10259	3.77834	0.961006	1.10409	3.78344	3.52848	1.10409	3.78344	1.60385
0.13	1.11392	3.77197	0.982048	1.11543	3.77707	3.60574	1.11543	3.77707	1.63897
0.133	1.12522	3.76513	1.00289	1.12675	3.77022	3.68226	1.12675	3.77022	1.67376
0.136	1.13651	3.75783	1.02352	1.13805	3.76291	3.75802	1.13805	3.76291	1.70819
0.139	1.14777	3.75008	1.04394	1.14933	3.75515	3.83299	1.14933	3.75515	1.74227
0.142	1.15901	3.74186	1.06414	1.16058	3.74692	3.90714	1.16058	3.74692	1.77597
0.145	1.17022	3.73318	1.0841	1.17181	3.73823	3.98043	1.17181	3.73823	1.80929
0.148	1.1814	3.72405	1.10382	1.18301	3.72909	4.05285	1.18301	3.72909	1.8422
0.151	1.19256	3.71447	1.1233	1.19418	3.71949	4.12435	1.19418	3.71949	1.87471
0.154	1.20369	3.70443	1.14252	1.20533	3.70944	4.19493	1.20533	3.70944	1.90678
0.157	1.21479	3.69394	1.16148	1.21644	3.69893	4.26454	1.21644	3.69893	1.93842
0.16	1.22585	3.683	1.18017	1.22752	3.68798	4.33315	1.22752	3.68798	1.96962
0.163	1.23689	3.67162	1.19858	1.23857	3.67658	4.40076	1.23857	3.67658	2.00034
0.166	1.24788	3.65979	1.2167	1.24958	3.66474	4.46731	1.24958	3.66474	2.0306
0.169	1.25884	3.64752	1.23454	1.26056	3.65245	4.5328	1.26056	3.65245	2.06036
0.172	1.26977	3.63481	1.25208	1.27149	3.63972	4.59718	1.27149	3.63972	2.08963
0.175	1.28065	3.62166	1.26931	1.28239	3.62656	4.66045	1.28239	3.62656	2.11839
0.178	1.2915	3.60808	1.28622	1.29325	3.61296	4.72256	1.29325	3.61296	2.14662
0.181	1.3023	3.59406	1.30282	1.30407	3.59892	4.7835	1.30407	3.59892	2.17432
0.184	1.31306	3.57962	1.31909	1.31485	3.58446	4.84324	1.31485	3.58446	2.20147
0.187	1.32378	3.56474	1.33503	1.32558	3.56957	4.90176	1.32558	3.56957	2.22807
0.19	1.33445	3.54945	1.35063	1.33626	3.55425	4.95902	1.33626	3.55425	2.2541
0.193	1.34507	3.53373	1.36588	1.3469	3.53851	5.01502	1.3469	3.53851	2.27955
0.196	1.35565	3.51759	1.38077	1.35749	3.52235	5.06971	1.35749	3.52235	2.30441
0.199	1.36618	3.50104	1.39531	1.36804	3.50577	5.12309	1.36804	3.50577	2.32868
0.202	1.37666	3.48407	1.40948	1.37853	3.48879	5.17512	1.37853	3.48879	2.35233
0.205	1.38708	3.4667	1.42328	1.38897	3.47139	5.22578	1.38897	3.47139	2.37535
0.208	1.39746	3.44891	1.4367	1.39936	3.45358	5.27506	1.39936	3.45358	2.39775
0.211	1.40778	3.43073	1.44974	1.40969	3.43537	5.32292	1.40969	3.43537	2.41951
0.214	1.41804	3.41214	1.46238	1.41997	3.41676	5.36936	1.41997	3.41676	2.44062
0.217	1.42825	3.39316	1.47463	1.43019	3.39775	5.41434	1.43019	3.39775	2.46106
0.22	1.4384	3.37378	1.48648	1.44035	3.37835	5.45784	1.44035	3.37835	2.48084
0.223	1.44849	3.35401	1.49793	1.45046	3.35855	5.49985	1.45046	3.35855	2.49993
0.226	1.45852	3.33386	1.50896	1.4605	3.33837	5.54035	1.4605	3.33837	2.51834
0.229	1.46849	3.31332	1.51957	1.47049	3.31781	5.57931	1.47049	3.31781	2.53605
0.232	1.4784	3.29241	1.52976	1.48041	3.29686	5.61672	1.48041	3.29686	2.55305
0.235	1.48825	3.27112	1.53952	1.49027	3.27554	5.65256	1.49027	3.27554	2.56934
0.238	1.49803	3.24945	1.54884	1.50006	3.25385	5.68681	1.50006	3.25385	2.58491
0.241	1.50774	3.22742	1.55773	1.50979	3.23179	5.71945	1.50979	3.23179	2.59975
0.244	1.51739	3.20503	1.56618	1.51945	3.20936	5.75046	1.51945	3.20936	2.61385
0.247	1.52697	3.18227	1.57418	1.52905	3.18658	5.77983	1.52905	3.18658	2.6272
0.25	1.53649	3.15916	1.58173	1.53857	3.16343	5.80754	1.53857	3.16343	2.63979
0.253	1.54593	3.1357	1.58882	1.54803	3.13994	5.83358	1.54803	3.13994	2.65163
0.256	1.5553	3.11188	1.59545	1.55741	3.11609	5.85793	1.55741	3.11609	2.66269
0.259	1.5646	3.08773	1.60162	1.56672	3.0919	5.88057	1.56672	3.0919	2.67299
0.262	1.57383	3.06323	1.60732	1.57596	3.06738	5.90149	1.57596	3.06738	2.6825
0.265	1.58298	3.0384	1.61254	1.58513	3.04251	5.92068	1.58513	3.04251	2.69122
0.268	1.59206	3.01324	1.61729	1.59422	3.01731	5.93812	1.59422	3.01731	2.69914
0.271	1.60106	2.98775	1.62156	1.60323	2.99179	5.95379	1.60323	2.99179	2.70627
0.274	1.60998	2.96193	1.62535	1.61217	2.96594	5.96769	1.61217	2.96594	2.71259
0.277	1.61883	2.9358	1.62865	1.62103	2.93978	5.97981	1.62103	2.93978	2.7181
0.28	1.6276	2.90936	1.63146	1.62981	2.9133	5.99013	1.62981	2.9133	2.72279
0.283	1.63629	2.88261	1.63377	1.63851	2.88651	5.99864	1.63851	2.88651	2.72665
0.286	1.64489	2.85555	1.6356	1.64713	2.85941	6.00532	1.64713	2.85941	2.72969
0.289	1.65342	2.82819	1.63692	1.65566	2.83202	6.01018	1.65566	2.83202	2.7319
0.292	1.66186	2.80054	1.63774	1.66412	2.80433	6.0132	1.66412	2.80433	2.73327
0.295	1.67022	2.7726	1.63806	1.67249	2.77635	6.01436	1.67249	2.77635	2.7338
0.298	1.6785	2.74437	1.63787	1.68078	2.74809	6.01367	1.68078	2.74809	2.73349
0.301	1.68669	2.71586	1.63717	1.68898	2.71954	6.01112	1.68898	2.71954	2.73232
0.304	1.69479	2.68708	1.63597	1.69709	2.69072	6.00668	1.69709	2.69072	2.73031
0.307	1.70281	2.65803	1.63425	1.70512	2.66162	6.00037	1.70512	2.66162	2.72744
0.31	1.71074	2.6287	1.63201	1.71306	2.63226	5.99217	1.71306	2.63226	2.72371
0.313	1.71858	2.59912	1.62926	1.72091	2.60264	5.98207	1.72091	2.60264	2.71912
0.316	1.72633	2.56928	1.62599	1.72868	2.57276	5.97007	1.72868	2.57276	2.71367
0.319	1.734	2.5392	1.62221	1.73635	2.54263	5.95617	1.73635	2.54263	2.70735
0.322	1.74157	2.50886	1.6179	1.74393	2.51226	5.94036	1.74393	2.51226	2.70016
0.325	1.74905	2.47828	1.61307	1.75142	2.48164	5.92263	1.75142	2.48164	2.69211
0.328	1.75644	2.44747	1.60772	1.75882	2.45078	5.90299	1.75882	2.45078	2.68318
0.331	1.76373	2.41643	1.60185	1.76613	2.4197	5.88142	1.76613	2.4197	2.67337
0.334	1.77094	2.38516	1.59545	1.77334	2.38839	5.85794	1.77334	2.38839	2.6627
0.337	1.77805	2.35368	1.58853	1.78046	2.35686	5.83252	1.78046	2.35686	2.65115
0.34	1.78506	2.32197	1.58109	1.78748	2.32511	5.80519	1.78748	2.32511	2.63872
0.343	1.79198	2.29006	1.57312	1.79441	2.29316	5.77592	1.79441	2.29316	2.62542
0.346	1.7988	2.25794	1.56462	1.80124	2.261	5.74473	1.80124	2.261	2.61124
0.349	1.80552	2.22563	1.5556	1.80797	2.22864	5.71161	1.80797	2.22864	2.59618
0.352	1.81215	2.19312	1.54605	1.81461	2.19609	5.67656	1.81461	2.19609	2.58025
0.355	1.81868	2.16042	1.53598	1.82115	2.16335	5.63959	1.82115	2.16335	2.56345
0.358	1.82512	2.12754	1.52539	1.82759	2.13042	5.60069	1.82759	2.13042	2.54577
0.361	1.83145	2.09449	1.51427	1.83393	2.09732	5.55987	1.83393	2.09732	2.52721
0.364	1.83768	2.06126	1.50263	1.84018	2.06405	5.51714	1.84018	2.06405	2.50779
0.367	1.84382	2.02786	1.49047	1.84632	2.03061	5.47249	1.84632	2.03061	2.48749
0.37	1.84985	1.99431	1.47779	1.85236	1.997	5.42592	1.85236	1.997	2.46633
0.373	1.85578	1.96059	1.46459	1.8583	1.96325	5.37745	1.8583	1.96325	2.4443
0.376	1.86161	1.92673	1.45087	1.86414	1.92934	5.32708	1.86414	1.92934	2.4214
0.379	1.86734	1.89273	1.43664	1.86988	1.89529	5.27482	1.86988	1.89529	2.39764
0.382	1.87297	1.85858	1.42189	1.87551	1.8611	5.22066	1.87551	1.8611	2.37303
0.385	1.87849	1.8243	1.40662	1.88104	1.82677	5.16462	1.88104	1.82677	2.34755
0.388	1.88391	1.7899	1.39085	1.88647	1.79232	5.1067	1.88647	1.79232	2.32123
0.391	1.88923	1.75537	1.37457	1.8918	1.75775	5.04691	1.8918	1.75775	2.29405
0.394	1.89445	1.72073	1.35778	1.89702	1.72306	4.98527	1.89702	1.72306	2.26603
0.397	1.89956	1.68597	1.34048	1.90213	1.68825	4.92177	1.90213	1.68825	2.23717
0.4	1.90456	1.65111	1.32268	1.90715	1.65335	4.85642	1.90715	1.65335	2.20747
0.403	1.90946	1.61615	1.30439	1.91205	1.61834	4.78925	1.91205	1.61834	2.17693
0.406	1.91426	1.5811	1.2856	1.91686	1.58324	4.72025	1.91686	1.58324	2.14557
0.409	1.91895	1.54596	1.26631	1.92155	1.54805	4.64944	1.92155	1.54805	2.11338
0.412	1.92353	1.51073	1.24653	1.92614	1.51277	4.57682	1.92614	1.51277	2.08037
0.415	1.92801	1.47543	1.22627	1.93063	1.47742	4.50242	1.93063	1.47742	2.04656
0.418	1.93239	1.44005	1.20552	1.93501	1.442	4.42624	1.93501	1.442	2.01193
0.421	1.93665	1.40461	1.18429	1.93928	1.40651	4.3483	1.93928	1.40651	1.9765
0.424	1.94081	1.36911	1.16259	1.94345	1.37097	4.2686	1.94345	1.37097	1.94027
0.427	1.94487	1.33356	1.14041	1.94751	1.33536	4.18717	1.94751	1.33536	1.90326
0.43	1.94882	1.29796	1.11776	1.95146	1.29971	4.10401	1.95146	1.29971	1.86546
